Date : 2026-04-16 14:07:45
Directory : /home/detlef/git-code/d2beam-gui-26-12-2025
Total : 104 files,  60819 codes, 12010 comments, 8738 blanks, all 81567 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| TypeScript              |         76 |     33,420 |     11,001 |      8,009 |     52,430 |
| WebAssembly Text Format |          1 |      9,495 |          0 |        115 |      9,610 |
| JSON                    |          7 |      7,069 |          0 |          2 |      7,071 |
| JavaScript              |          5 |      3,735 |        669 |        325 |      4,729 |
| XML                     |          2 |      3,221 |          0 |          2 |      3,223 |
| HTML                    |          4 |      2,437 |         81 |         51 |      2,569 |
| PostCSS                 |          7 |      1,398 |        259 |        226 |      1,883 |
| JSON with Comments      |          1 |         31 |          0 |          1 |         32 |
| Markdown                |          1 |         13 |          0 |          7 |         20 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        104 |     60,819 |     12,010 |      8,738 |     81,567 |
| . (Files)                                                                                           |         11 |     20,353 |        686 |        450 |     21,489 |
| public                                                                                              |          4 |        136 |         56 |          3 |        195 |
| public (Files)                                                                                      |          2 |        109 |         56 |          3 |        168 |
| public/widget                                                                                       |          2 |         27 |          0 |          0 |         27 |
| src                                                                                                 |         87 |     37,109 |     11,268 |      8,283 |     56,660 |
| src (Files)                                                                                         |          1 |        152 |        164 |         75 |        391 |
| src/components                                                                                      |         26 |      9,094 |        863 |      1,052 |     11,009 |
| src/fonts                                                                                           |          2 |          2 |          0 |          3 |          5 |
| src/generated                                                                                       |          3 |        809 |         20 |         16 |        845 |
| src/generated (Files)                                                                               |          1 |         10 |         12 |          4 |         26 |
| src/generated/locales                                                                               |          2 |        799 |          8 |         12 |        819 |
| src/info                                                                                            |          3 |      2,350 |          9 |         47 |      2,406 |
| src/pages                                                                                           |         42 |     22,572 |      9,938 |      6,866 |     39,376 |
| src/styles                                                                                          |         10 |      2,130 |        274 |        224 |      2,628 |
| xliff                                                                                               |          2 |      3,221 |          0 |          2 |      3,223 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                            | language                | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
